ID_,MARITAL,AGE,HAPPY,sex
1723,3,60,3,f
1724,3,47,2,m
1725,5,22,2,f
1726,1,52,1,m
1727,5,30,3,f
1728,1,82,1,m
1729,3,68,1,f
1730,1,46,2,m
1731,5,22,1,f
1732,5,25,2,f
1733,5,32,3,m
1734,1,60,1,m
1735,1,34,2,m
1736,1,67,1,f
1737,3,40,2,m
1738,1,62,2,m
1739,2,75,2,f
1740,1,30,2,m
1741,5,32,2,m
1742,1,49,1,m
1743,1,28,2,f
1744,4,43,3,f
1745,3,46,2,m
1746,2,42,2,f
1747,4,63,2,m
1748,5,54,2,m
1749,1,68,1,f
1750,1,76,2,f
1751,2,67,2,f
1752,4,41,3,m
1753,1,64,1,m
1754,1,74,1,m
1755,1,44,2,m
1756,1,69,2,f
1757,1,51,1,f
1758,1,86,1,f
1759,1,58,1,f
1760,2,78,3,f
1761,3,58,2,f
1762,1,41,2,m
1763,5,50,2,m
1764,4,34,3,f
1765,1,66,1,m
1766,5,52,2,m
1767,3,52,2,m
1768,1,56,2,f
1769,5,25,1,f
1770,1,53,1,m
1771,5,29,2,m
1772,5,26,2,m
1773,3,60,3,f
1774,5,53,2,f
1775,1,71,1,m
1776,1,80,2,f
1777,5,71,2,f
1778,4,35,2,m
1779,1,32,2,m
1780,1,31,1,f
1781,1,81,1,m
1782,1,26,1,f
1783,1,56,2,f
1784,3,78,2,f
1785,1,45,2,f
1786,3,65,1,m
1787,2,78,2,f
1788,1,51,2,m
1789,5,23,2,m
1790,1,40,2,m
1791,3,51,3,m
1792,1,79,1,m
1793,1,61,1,f
1794,1,80,1,f
1795,1,67,2,m
1796,3,66,2,f
1797,3,54,2,f
1798,1,50,1,f
1799,1,41,2,m
1800,1,33,1,f
1801,1,63,2,m
1802,1,44,1,f
1803,1,73,2,f
1804,2,75,2,f
1805,1,67,1,f
1806,2,83,3,m
1807,1,54,2,m
1808,1,64,1,m
1809,4,42,2,m
1810,1,45,2,f
1811,1,35,1,f
1812,1,40,1,m
1813,3,50,3,m
1814,2,85,2,f
1815,1,77,1,f
1816,3,41,2,f
1817,1,88,2,m
1818,5,74,1,f
1819,1,33,2,f
1820,5,33,3,m
1821,4,36,2,f
1822,1,57,1,f
1823,5,23,2,f
1824,1,33,2,f
1825,1,43,3,f
1826,3,62,2,m
1827,3,42,2,m
1828,1,64,2,f
1829,1,57,3,m
1830,1,56,1,m
1831,5,23,1,m
1832,1,30,2,m
1833,1,36,1,f
1834,5,32,2,f
1835,5,25,1,m
1836,1,74,1,f
1837,3,74,2,f
1838,1,56,2,m
1839,5,24,2,m
1840,5,24,1,f
1841,5,60,3,m
1842,5,37,3,m
1843,3,47,1,m
1844,5,20,2,f
1845,1,31,1,m
1846,1,44,2,f
1847,3,69,2,f
1848,3,43,1,f
1849,3,39,2,m
1850,5,21,2,f
1851,1,54,2,f
1852,1,33,2,f
1853,3,60,1,f
1854,3,29,2,f
1855,1,72,2,f
1856,5,20,1,f
1857,5,27,1,m
1858,1,80,2,m
1859,1,56,2,f
1860,1,44,2,f
1861,3,31,2,f
1862,3,49,3,f
1863,1,37,2,f
1864,1,84,1,m
1865,1,67,2,f
1866,1,58,2,f
1867,1,53,1,m
1868,1,39,3,m
1869,2,89,3,m
1870,1,54,1,f
1871,5,31,2,f
1872,4,73,2,m
1873,1,67,1,m
1874,1,47,2,f
1875,1,78,1,m
1876,1,55,2,f
1877,2,57,2,f
1878,2,88,1,f
1879,3,46,2,f
1880,1,79,1,m
1881,5,41,2,f
1882,2,64,1,m
1883,1,61,2,m
1884,1,40,1,f
1885,5,19,3,m
1886,1,39,1,f
1887,3,41,2,f
1888,1,44,2,m
1889,1,57,1,m
1890,1,55,2,m
1891,1,46,2,f
1892,1,41,1,f
1893,3,37,2,m
1894,2,87,2,f
1895,3,42,2,m
1896,3,30,2,f
1897,5,56,1,f
1898,1,39,1,f
1899,5,32,1,m
1900,3,50,2,f
1901,3,54,3,m
1902,1,43,1,m
1903,2,80,2,f
1904,3,51,1,f
1905,1,71,2,m
1906,1,39,1,m
1907,2,84,2,f
1908,1,43,2,m
1909,2,70,1,m
1910,1,58,2,f
1911,1,82,1,f
1912,1,37,1,m
1913,3,30,3,m
1914,1,58,1,f
1915,1,89,2,m
1916,5,80,1,f
1917,2,66,1,f
1918,1,30,2,f
1919,1,57,2,f
1920,1,55,1,m
1921,1,64,1,m
1922,1,58,2,f
1923,1,44,2,f
1924,5,31,2,m
1925,1,31,1,f
1926,1,64,2,m
1927,1,27,1,m
1928,3,59,2,m
1929,1,38,2,f
1930,1,29,2,m
1931,1,75,2,m
1932,5,45,2,f
1933,3,44,1,f
1934,5,29,1,f
1935,1,79,3,m
1936,5,34,3,m
1937,1,85,1,m
1938,1,66,2,m
1939,5,26,2,f
1940,1,66,2,f
1941,3,65,2,f
1942,3,65,2,f
1943,5,56,1,m
1944,5,56,2,m
1945,5,34,2,m
1946,5,55,2,m
1947,1,53,3,m
1948,2,82,2,m
1949,1,29,1,m
1950,3,52,2,m
1951,5,23,2,m
1952,1,33,2,m
1953,1,56,2,m
1954,5,28,2,m
1955,1,76,2,f
1956,1,33,2,m
1957,1,68,2,m
1958,1,44,1,m
1959,1,74,1,f
1960,1,55,3,f
1961,1,67,2,m
1962,1,59,1,f
1963,5,55,2,f
1964,5,45,2,f
1965,5,56,1,m
1966,5,27,1,f
1967,1,34,1,f
1968,4,61,3,m
1969,1,30,1,f
1970,5,25,2,m
1971,5,56,2,m
1972,2,58,2,m
1973,3,38,1,f
1974,5,26,1,f
1975,1,71,2,f
1976,3,44,3,m
1977,5,35,2,f
1978,1,38,1,f
1979,2,53,1,f
1980,4,28,1,f
1981,2,84,3,m
1982,3,50,3,m
1983,1,65,1,f
1984,5,26,2,m
1985,1,52,1,f
1986,5,59,3,m
1987,3,54,2,m
1988,1,44,2,f
1989,1,67,3,f
1990,3,63,2,f
1991,5,29,1,f
1992,1,60,1,m
1993,5,20,2,m
1994,3,65,1,f
1995,1,27,3,m
1996,5,53,2,f
1997,3,67,2,f
1998,3,30,1,f
1999,5,19,1,f
2000,1,79,3,m
2001,3,33,2,m
2002,2,75,1,m
2003,1,79,2,f
2004,1,32,2,f
2005,3,70,1,f
2006,4,58,2,m
2007,3,73,2,m
2008,3,45,3,m
2009,1,33,3,f
2010,1,80,1,m
2011,1,64,2,m
2012,5,54,2,f
2013,3,53,2,m
2014,1,42,1,f
2015,5,31,1,f
2016,1,54,1,m
2017,2,78,2,f
2018,5,28,2,f
2019,5,37,1,f
2020,5,18,1,m
2021,5,37,2,f
2022,1,43,2,m
2023,5,19,1,f
2024,1,39,1,m
2025,1,52,2,f
2026,5,22,1,m
2027,5,35,2,f
2028,1,25,2,f
2029,1,51,2,m
2030,5,30,2,f
2031,4,70,3,f
2032,4,30,1,f
2033,3,59,2,f
2034,5,49,2,m
2035,1,29,1,f
2036,1,30,1,m
2037,1,62,2,f
2038,1,35,1,f
2039,1,55,1,m
2040,2,77,2,f
2041,2,78,2,f
2042,2,89,1,f
2043,3,41,2,f
2044,1,53,2,m
2045,2,74,2,f
2046,2,78,2,m
2047,1,46,1,f
2048,3,60,2,m
2049,3,61,1,f
2050,2,48,2,m
2051,5,21,2,m
2052,3,77,2,f
2053,5,25,1,f
2054,5,36,2,m
2055,3,32,2,m
2056,5,19,1,f
2057,5,29,2,f
2058,5,60,3,m
2059,5,34,2,f
2060,3,77,1,f
2061,3,57,2,f
2062,5,24,2,f
2063,1,31,2,m
2064,3,63,3,f
2065,1,78,2,f
2066,1,86,1,f
2067,5,21,2,m
2068,1,39,1,m
2069,2,61,2,f
2070,3,70,1,f
2071,3,43,2,f
2072,3,43,2,f
2073,2,61,2,f
2074,4,58,2,m
2075,5,34,1,f
2076,5,24,2,m
2077,1,55,2,m
2078,5,26,2,m
2079,1,53,1,f
2080,1,56,1,f
2081,1,60,1,f
2082,4,33,2,m
2083,5,38,1,f
2084,2,61,3,f
2085,3,65,2,m
2086,3,48,2,m
2087,1,32,2,m
2088,5,23,2,m
2089,5,38,2,f
2090,4,61,2,m
2091,5,48,3,m
2092,4,25,2,f
2093,1,77,2,m
2094,1,29,3,m
2095,1,64,2,f
2096,1,63,2,f
2097,5,23,2,f
2098,2,67,2,f
2099,1,28,1,m
2100,5,22,2,m
2101,1,43,3,f
2102,1,30,2,f
2103,1,43,1,m
2104,4,39,3,m
2105,1,56,2,m
2106,1,86,1,f
2107,1,29,1,m
2108,2,70,3,f
2109,1,59,3,m
2110,1,99,1,f
2111,1,67,2,f
2112,5,27,2,m
2113,1,62,2,m
2114,1,41,2,f
2115,2,89,2,f
2116,1,35,2,f
2117,5,42,1,f
2118,1,37,2,m
2119,1,36,1,f
2120,5,35,3,m
2121,3,26,3,m
2122,5,76,1,m
2123,5,33,2,m
2124,3,66,1,f
2125,4,37,1,f
2126,2,67,1,m
2127,5,24,3,m
2128,3,53,3,f
2129,1,30,2,f
2130,1,41,1,f
2131,3,57,3,m
2132,3,57,2,f
2133,2,83,2,f
2134,1,76,1,f
2135,3,68,1,f
2136,4,57,2,f
2137,3,41,2,f
2138,1,27,1,m
2139,3,55,1,f
2140,3,64,2,f
2141,1,45,1,m
2142,1,54,2,m
2143,1,30,2,f
2144,1,88,2,f
2145,1,63,1,f
2146,2,54,2,m
2147,1,99,2,f
2148,1,51,2,f
2149,1,43,2,f
2150,1,52,1,m
2151,5,27,1,f
2152,1,48,1,m
2153,2,70,1,f
2154,1,62,1,f
2155,5,31,2,f
2156,1,54,1,f
2157,1,39,2,f
2158,1,88,3,m
2159,1,36,2,m
2160,1,65,2,m
2161,1,29,1,f
2162,5,33,3,f
2163,5,24,2,m
2164,5,24,1,m
2165,5,20,2,f
2166,1,65,2,m
2167,5,58,2,m
2168,1,79,2,m
2169,2,79,1,m
2170,2,40,2,m
2171,4,44,2,f
2172,1,74,2,m
2173,3,68,2,f
2174,5,27,2,f
2175,3,72,1,f
2176,3,47,2,m
2177,3,39,1,m
2178,5,36,1,f
2179,3,33,2,m
2180,5,23,2,m
2181,3,40,2,f
2182,1,29,1,m
2183,1,37,1,m
2184,5,26,2,m
2185,1,67,1,m
2186,5,34,1,f
2187,5,27,1,m
2188,1,45,2,f
2189,1,32,1,m
2190,5,32,2,m
2191,5,24,2,m
2192,5,27,2,m
2193,1,55,3,m
2194,5,37,2,m
2195,4,70,1,m
2196,5,53,1,m
2197,2,59,2,m
2198,1,63,1,f
2199,3,53,3,m
2200,5,21,2,m
2201,5,61,2,m
2202,2,71,3,m
2203,5,65,2,m
2204,1,49,2,f
2205,2,65,2,m
2206,1,32,2,f
2207,1,54,2,m
2208,2,71,1,f
2209,5,38,1,m
2210,1,88,2,f
2211,2,76,3,m
2212,1,32,2,m
2213,1,26,2,f
2214,1,34,2,f
2215,1,60,2,m
2216,1,53,2,m
2217,3,36,2,f
2218,1,25,2,f
2219,1,53,1,f
2220,1,34,2,f
2221,1,56,1,f
2222,2,35,1,f
2223,1,30,1,m
2224,1,47,2,f
2225,5,26,3,m
2226,1,33,2,m
2227,3,32,2,f
2228,1,42,1,f
2229,1,29,1,f
2230,1,26,3,m
2231,1,43,2,f
2232,1,28,1,m
2233,5,41,2,f
2234,1,36,2,f
2235,1,48,1,m
2236,1,28,1,m
2237,1,37,1,m
2238,3,61,2,f
2239,1,40,2,m
2240,1,24,2,f
2241,5,21,2,m
2242,5,58,2,m
2243,5,47,3,m
2244,1,31,2,f
2245,1,44,2,m
2246,1,27,1,m
2247,5,65,2,m
2248,1,42,3,f
2249,1,31,2,f
2250,1,66,1,m
2251,1,47,2,f
2252,1,49,2,f
2253,1,52,2,m
2254,2,79,1,m
2255,1,64,2,f
2256,1,42,2,f
2257,1,58,2,m
2258,1,59,2,m
2259,1,55,1,f
2260,3,35,2,f
2261,5,44,2,m
2262,1,43,2,m
2263,5,25,3,m
2264,1,58,3,m
2265,1,62,2,m
2266,1,48,2,m
2267,1,64,2,m
2268,1,49,3,m
2269,1,38,1,m
2270,1,33,2,f
2271,1,58,1,f
2272,1,41,2,f
2273,3,70,1,f
2274,1,56,1,m
2275,3,62,2,m
2276,1,62,1,m
2277,1,63,1,m
2278,1,30,2,m
2279,1,46,2,f
2280,2,50,1,f
2281,1,30,1,m
2282,2,68,2,f
2283,1,60,2,f
2284,1,29,1,f
2285,1,37,2,f
2286,1,47,2,f
2287,1,51,1,m
2288,5,39,1,f
2289,2,70,2,f
2290,4,26,2,f
2291,1,58,1,f
2292,3,58,3,m
2293,3,62,3,m
2294,1,41,2,m
2295,1,48,2,f
2296,1,33,2,f
2297,3,51,2,m
2298,1,62,2,m
2299,5,40,3,m
2300,1,41,2,f
2301,3,65,2,f
2302,1,39,1,f
2303,2,49,2,f
2304,1,76,1,m
2305,1,70,2,f
2306,1,53,1,f
2307,3,55,1,f
2308,1,59,1,f
2309,1,73,2,m
2310,1,78,1,f
2311,1,32,1,f
2312,3,41,2,f
2313,1,62,1,m
2314,1,58,2,f
2315,1,39,2,m
2316,3,43,2,m
2317,1,22,1,m
2318,5,33,2,m
2319,5,27,2,m
2320,5,46,2,f
2321,5,62,2,m
2322,5,28,2,m
2323,1,75,2,m
2324,1,43,2,f
2325,1,31,3,m
2326,5,32,2,m
2327,5,23,2,m
2328,1,25,1,f
2329,1,45,1,f
2330,1,34,1,f
2331,1,57,1,m
2332,1,70,3,m
2333,1,39,1,f
2334,3,63,2,f
2335,1,59,2,f
2336,1,58,1,m
2337,3,30,3,f
2338,1,31,3,m
2339,5,27,2,m
2340,1,43,2,m
2341,5,31,2,m
2342,1,44,1,f
2343,1,26,2,f
2344,3,24,2,f
2345,1,38,2,m
2346,1,38,2,f
2347,1,51,1,f
2348,2,44,2,m
2349,2,67,1,f
2350,1,65,1,m
2351,2,85,2,f
2352,5,20,1,f
2353,5,19,2,f
2354,5,45,3,f
2355,2,74,2,f
2356,1,31,2,f
2357,3,54,2,f
2358,1,82,1,m
2359,3,49,2,m
2360,3,50,2,f
2361,5,21,2,f
2362,5,37,2,f
2363,3,42,2,f
2364,2,83,3,f
2365,2,86,1,f
2366,1,60,1,m
2367,1,77,1,f
2368,1,44,2,m
2369,5,54,2,m
2370,3,48,2,m
2371,2,76,2,m
2372,1,64,2,f
2373,3,64,2,f
2374,1,32,2,m
2375,1,50,1,m
2376,1,47,1,f
2377,5,34,2,f
2378,1,59,2,f
2379,3,40,2,m
2380,1,52,2,f
2381,2,79,3,f
2382,5,24,1,m
2383,5,24,2,f
2384,5,23,1,f
2385,5,26,2,f
2386,5,30,2,f
2387,5,28,2,m
2388,1,49,2,m
2389,5,27,2,f
2390,5,38,2,f
2391,5,27,1,f
2392,1,54,2,f
2393,1,49,2,m
2394,1,38,1,f
2395,1,61,3,m
2396,1,64,2,f
2397,5,49,2,m
2398,5,28,2,m
2399,1,40,1,f
2400,3,20,2,m
2401,5,35,2,m
2402,1,56,3,f
2403,1,54,2,m
2404,5,24,1,m
2405,1,38,1,m
2406,5,47,2,f
2407,1,55,1,m
2408,1,54,2,f
2409,2,69,1,f
2410,1,30,1,f
2411,1,39,2,f
2412,1,54,1,f
2413,1,58,1,f
2414,1,64,2,m
2415,1,58,2,m
2416,1,26,1,m
2417,1,51,1,m
2418,1,51,2,f
2419,3,57,3,f
2420,5,31,2,f
2421,3,44,3,m
2422,3,63,1,f
2423,5,27,2,f
2424,1,48,2,m
2425,1,58,1,f
2426,1,31,1,m
2427,1,39,1,m
2428,1,30,1,m
2429,2,79,3,f
2430,4,53,3,m
2431,3,48,3,f
2432,3,69,2,m
2433,1,67,1,m
2434,2,87,2,f
2435,1,45,2,f
2436,1,81,2,m
2437,1,57,2,m
2438,1,72,2,f
2439,1,29,2,f
2440,1,48,1,f
2441,5,35,3,m
2442,5,23,2,m
2443,3,42,1,f
2444,3,57,1,f
2445,3,70,2,f
2446,5,39,2,f
2447,5,31,2,f
2448,5,38,1,f
2449,5,56,2,f
2450,2,87,1,f
2451,1,34,3,f
2452,3,62,2,f
2453,5,62,2,m
2454,1,59,2,m
2455,1,62,1,f
2456,1,52,1,f
2457,2,81,3,m
2458,2,84,3,m
2459,1,26,3,f
2460,1,71,1,m
2461,5,37,2,f
2462,1,74,1,m
2463,3,50,2,f
2464,1,40,1,m
2465,2,66,3,f
2466,1,40,1,f
2467,1,61,2,f
2468,3,24,2,m
2469,5,20,2,m
2470,1,40,2,f
2471,3,56,1,m
2472,3,64,1,m
2473,2,84,1,f
2474,3,38,2,m
2475,4,34,2,m
2476,5,35,2,f
2477,1,65,2,f
2478,2,71,2,f
2479,3,38,1,f
2480,1,53,2,m
2481,3,64,2,m
2482,4,72,2,f
2483,1,37,1,f
2484,1,28,1,f
2485,3,55,2,f
2486,3,48,2,f
2487,3,53,1,f
2488,1,45,2,m
2489,1,56,2,f
2490,2,86,1,f
2491,1,46,3,f
2492,5,29,3,m
2493,5,26,2,f
2494,2,75,2,f
2495,5,46,2,f
2496,2,83,2,f
2497,5,25,2,f
2498,4,55,2,f
2499,1,56,1,f
2500,1,43,1,f
2501,1,77,2,f
2502,1,37,1,f
2503,1,67,3,f
2504,1,43,2,m
2505,3,53,2,m
2506,2,79,3,f
2507,1,35,2,f
2508,3,58,2,f
2509,1,67,1,f
2510,2,88,8,f
2511,3,54,2,f
2512,5,22,3,m
2513,1,41,2,f
2514,3,38,3,f
2515,2,46,3,m
2516,1,49,2,f
2517,5,34,1,m
2518,1,54,2,f
2519,1,34,2,f
2520,1,69,2,f
2521,3,36,1,f
2522,1,65,2,m
2523,1,48,2,f
2524,1,38,1,f
2525,5,30,2,m
2526,1,48,1,f
2527,3,49,1,f
2528,1,54,2,m
2529,1,49,1,m
2530,1,53,2,f
2531,1,52,1,m
2532,2,82,2,m
2533,1,63,2,f
2534,3,54,2,m
2535,1,62,2,m
2536,5,40,2,m
2537,1,33,1,f
2538,2,75,1,f
2539,2,89,2,f
2540,3,56,1,m
2541,5,24,2,m
2542,5,27,2,m
2543,2,71,2,f
